split,stem,class_id,class_name,area_pixels,area_ratio,bbox_x,bbox_y,bbox_w,bbox_h,bbox_area,bbox_area_ratio
train,00000005,23,cilantro mint,17991,0.0915069580078125,0,152,233,154,35882,0.18250528971354166
train,00000005,96,tomato,4301,0.021876017252604168,316,0,90,90,8100,0.04119873046875
train,00000005,96,tomato,10361,0.052698771158854164,406,232,106,127,13462,0.06847127278645833
train,00000005,96,tomato,24017,0.12215677897135417,99,243,228,141,32148,0.16351318359375
train,00000006,15,carrot,36535,0.18582661946614584,81,0,431,195,84045,0.4274749755859375
train,00000006,25,corn,12183,0.0619659423828125,0,62,148,162,23976,0.1219482421875
train,00000006,74,potato,26245,0.13348897298177084,208,129,274,184,50416,0.2564290364583333
train,00000006,74,potato,8393,0.042689005533854164,0,180,122,104,12688,0.06453450520833333
train,00000006,82,sauce,34343,0.17467753092447916,48,91,395,214,84530,0.4299418131510417
train,00000006,83,sausage,2224,0.011311848958333334,452,185,40,94,3760,0.019124348958333332
train,00000006,83,sausage,31320,0.1593017578125,38,266,474,97,45978,0.233856201171875
train,00000007,74,potato,451154,0.1434179941813151,0,332,750,874,655500,0.20837783813476562
train,00000007,80,rice,489884,0.15572992960611978,84,1002,837,862,721494,0.2293567657470703
train,00000007,83,sausage,631023,0.20059680938720703,640,452,826,1170,966420,0.3072166442871094
train,00000008,10,bread,41627,0.20740493463010204,242,161,270,208,56160,0.27981505102040816
train,00000008,19,cheese butter,12101,0.060292769451530615,62,157,197,175,34475,0.17177036830357142
train,00000008,19,cheese butter,56,0.00027901785714285713,90,159,11,10,110,0.0005480707908163265
train,00000008,30,egg,22326,0.11123844068877552,28,128,246,240,59040,0.29416454081632654
train,00000008,30,egg,2676,0.013333067602040817,175,269,72,65,4680,0.023317920918367346
train,00000008,30,egg,854,0.004255022321428571,137,276,33,45,1485,0.0073989556760204085
train,00000008,93,strawberry,21645,0.10784538424744898,268,39,238,149,35462,0.17668805803571427
train,00000009,15,carrot,13462,0.06847127278645833,177,19,229,111,25419,0.1292877197265625
train,00000009,42,green beans,22210,0.11296590169270833,319,57,193,184,35512,0.18062337239583334
train,00000009,73,pork,40419,0.2055816650390625,92,107,314,211,66254,0.3369852701822917
train,00000010,8,biscuit,84552,0.48428335777126097,0,0,498,341,169818,0.97265625
train,00000010,19,cheese butter,45828,0.2624862536656892,130,51,255,233,59415,0.3403076887829912
train,00000011,37,french fries,207585,0.09186347640761301,832,77,832,426,354432,0.1568483063328424
train,00000011,45,ice cream,1239597,0.5485641533080322,67,32,1529,1242,1899018,0.8403805440693327
train,00000012,45,ice cream,147993,0.018521647323144944,2139,191,595,558,332010,0.04155177696078431
train,00000012,45,ice cream,441653,0.05527383798699218,1251,308,863,957,825891,0.10336206326893503
train,00000012,45,ice cream,843657,0.10558551698865822,0,601,1038,1160,1204080,0.1506932429834679
train,00000012,96,tomato,2966637,0.3712811028210304,0,0,2742,2294,6290148,0.7872257665321031
train,00000012,96,tomato,132264,0.01655312860438293,2311,0,526,757,398182,0.04983334735037806
train,00000013,10,bread,24354,0.371612548828125,26,16,230,240,55200,0.84228515625
train,00000013,52,lettuce,440,0.0067138671875,0,165,39,14,546,0.008331298828125
train,00000013,52,lettuce,2371,0.0361785888671875,0,195,83,61,5063,0.0772552490234375
train,00000013,52,lettuce,568,0.0086669921875,120,231,49,25,1225,0.0186920166015625
train,00000013,82,sauce,7843,0.1196746826171875,62,37,181,175,31675,0.4833221435546875
train,00000013,92,steak,8166,0.124603271484375,64,51,156,161,25116,0.38323974609375
train,00000013,96,tomato,3076,0.04693603515625,0,119,70,93,6510,0.099334716796875
train,00000013,96,tomato,3504,0.053466796875,33,205,102,51,5202,0.079376220703125
train,00000014,15,carrot,1290439,0.22558213605701896,403,0,1604,2706,4340424,0.7587511825922422
train,00000014,15,carrot,3279,0.0005732032464385881,819,661,98,64,6272,0.001096410723288449
train,00000014,39,garlic,9381,0.0016398962045868846,411,773,96,130,12480,0.0021816335820535465
train,00000014,39,garlic,10637,0.0018594580458576582,611,1599,126,127,16002,0.002797315751604235
train,00000014,92,steak,984032,0.1720190109787913,715,327,701,2185,1531685,0.2677544417570262
train,00000015,11,broccoli,23306,0.09623579545454546,84,35,247,234,57798,0.2386611390063425
train,00000015,11,broccoli,805,0.0033240288054968287,77,131,52,40,2080,0.008588794926004228
train,00000015,15,carrot,4833,0.0199565605179704,73,94,126,123,15498,0.06399478065539112
train,00000015,15,carrot,4497,0.018569139799154335,171,143,123,103,12669,0.05231319371035941
train,00000015,35,fish,41358,0.17077662526427062,198,186,241,243,58563,0.24181999867864692
train,00000015,36,french beans,1327,0.005479485993657505,217,125,89,56,4984,0.02058007399577167
train,00000015,36,french beans,1190,0.004913781712473573,220,183,64,27,1728,0.007135306553911205
train,00000016,35,fish,127702,0.18259002104685212,0,200,488,483,235704,0.3370127196193265
train,00000016,35,fish,90680,0.129655472181552,375,327,621,355,220455,0.31520949624816985
train,00000016,51,lemon,28779,0.04114859763909224,636,0,339,147,49833,0.07125188735358712
train,00000016,51,lemon,65238,0.09327816160322108,744,116,280,340,95200,0.13611822840409957
train,00000016,60,onion,117473,0.16796446056002928,252,0,561,333,186813,0.2671077164165447
train,00000017,37,french fries,9954,0.151885986328125,19,131,176,116,20416,0.3115234375
train,00000017,69,pie,7673,0.1170806884765625,14,53,187,117,21879,0.3338470458984375
train,00000017,92,steak,5593,0.0853424072265625,103,84,100,77,7700,0.11749267578125
train,00000017,92,steak,745,0.0113677978515625,63,123,53,45,2385,0.0363922119140625
train,00000018,10,bread,31335,0.15855225874352333,127,0,323,143,46189,0.23371215187823835
train,00000018,85,shellfish,68206,0.3451161755181347,39,86,422,275,116050,0.5872024773316062
train,00000018,91,spring onion,11779,0.05960067195595855,54,87,167,185,30895,0.15632589863989638
train,00000018,96,tomato,2311,0.011693450453367876,48,114,54,60,3240,0.01639410621761658
train,00000018,96,tomato,3630,0.01836747085492228,25,173,76,69,5244,0.02653416450777202
train,00000019,21,chicken duck,237752,0.1409819734345351,37,449,664,605,401720,0.23821157495256168
train,00000019,21,chicken duck,89838,0.05327205882352941,809,585,394,406,159964,0.09485531309297912
train,00000019,46,juice,24463,0.014506048387096774,944,0,217,170,36890,0.021875
train,00000019,51,lemon,63590,0.03770754269449715,595,0,315,335,105525,0.06257412239089184
train,00000019,62,other ingredients,22245,0.013190820683111955,723,354,184,182,33488,0.019857685009487668
train,00000019,68,pepper,113107,0.06707009013282733,955,175,486,400,194400,0.11527514231499052
train,00000019,82,sauce,24563,0.014565346299810246,181,205,176,181,31856,0.018889943074003795
train,00000020,11,broccoli,10365,0.11596554038934885,263,22,139,150,20850,0.23327366301185948
train,00000020,15,carrot,8814,0.09861266502573282,105,0,188,88,16544,0.18509733721190422
train,00000020,17,cauliflower,6093,0.06816961288878944,248,147,136,71,9656,0.10803311702841799
train,00000020,27,cucumber,15226,0.17035130901767734,58,43,130,175,22750,0.254531215036921
train,00000020,45,ice cream,4051,0.04532333855448646,199,59,82,71,5822,0.06513761467889909
train,00000020,68,pepper,4397,0.04919445066010293,164,169,118,49,5782,0.06469008726784516
train,00000020,76,pumpkin,7449,0.08334079212351757,175,30,121,140,16940,0.1895278585813381
train,00000021,21,chicken duck,67775,0.35651538105458064,38,6,443,350,155050,0.8156061945040609
train,00000021,51,lemon,14541,0.076489710895089,258,82,129,184,23736,0.12485797247822245
train,00000022,1,apple,14399,0.07323710123697917,235,249,140,132,18480,0.093994140625
train,00000022,6,banana,19304,0.09818522135416667,33,245,112,267,29904,0.152099609375
train,00000022,46,juice,40271,0.20482889811197916,86,22,211,288,60768,0.30908203125
train,00000022,61,orange,19896,0.1011962890625,104,286,157,163,25591,0.13016255696614584
train,00000023,15,carrot,31307,0.15923563639322916,0,21,259,259,67081,0.3411916097005208
train,00000023,18,celery stick,56361,0.2866668701171875,215,0,297,299,88803,0.4516754150390625
train,00000023,45,ice cream,76151,0.3873240152994792,31,138,417,246,102582,0.521759033203125
train,00000024,25,corn,24060,0.12237548828125,352,60,160,256,40960,0.20833333333333334
train,00000024,69,pie,22534,0.11461385091145833,94,86,279,127,35433,0.1802215576171875
train,00000024,92,steak,27868,0.14174397786458334,63,175,449,174,78126,0.397369384765625
train,00000024,99,white button mushroom,34818,0.177093505859375,122,228,312,156,48672,0.24755859375
train,00000025,3,asparagus,34884,0.17742919921875,39,0,235,356,83660,0.4255167643229167
train,00000025,25,corn,24267,0.1234283447265625,176,62,126,312,39312,0.199951171875
train,00000025,73,pork,36558,0.185943603515625,286,119,216,225,48600,0.2471923828125
train,00000026,36,french beans,52888,0.07051733333333333,198,76,556,180,100080,0.13344
train,00000026,92,steak,198244,0.26432533333333336,136,130,795,445,353775,0.4717
train,00000027,21,chicken duck,1306367,0.24381252239608217,752,722,1835,1045,1917575,0.3578847273650263
train,00000027,36,french beans,804675,0.150179728559484,0,174,1279,1120,1432480,0.26734949832775917
train,00000027,80,rice,681175,0.12713042731724797,1195,37,1370,797,1091890,0.20378381808408982
train,00000028,3,asparagus,55193,0.2807261149088542,0,152,499,175,87325,0.4441579182942708
train,00000028,11,broccoli,8412,0.04278564453125,417,6,95,112,10640,0.054117838541666664
train,00000028,15,carrot,12861,0.0654144287109375,357,106,155,144,22320,0.113525390625
train,00000028,21,chicken duck,57740,0.2936808268229167,0,0,423,156,65988,0.33563232421875
train,00000028,74,potato,2215,0.011266072591145834,399,0,113,39,4407,0.0224151611328125
train,00000028,74,potato,10310,0.052439371744791664,177,135,130,119,15470,0.07868448893229167
train,00000029,10,bread,243150,0.049468994140625,769,618,908,384,348672,0.0709375
train,00000029,11,broccoli,476406,0.096925048828125,967,978,949,1044,990756,0.20156982421875
train,00000029,15,carrot,45630,0.009283447265625,1405,1504,265,392,103880,0.021134440104166666
train,00000029,74,potato,21539,0.004382120768229167,1212,983,268,157,42076,0.008560384114583333
train,00000029,74,potato,787983,0.1603155517578125,194,1249,1193,982,1171526,0.23834757486979166
train,00000029,74,potato,21816,0.0044384765625,1596,1592,152,222,33744,0.006865234375
train,00000029,92,steak,461021,0.09379496256510417,86,759,909,724,658116,0.13389404296875
train,00000030,9,blueberry,394,0.0020039876302083335,260,83,30,22,660,0.00335693359375
train,00000030,9,blueberry,277,0.0014088948567708333,335,105,26,18,468,0.00238037109375
train,00000030,9,blueberry,833,0.004236857096354167,71,179,33,31,1023,0.0052032470703125
train,00000030,9,blueberry,830,0.004221598307291667,392,187,31,31,961,0.004887898763020833
train,00000030,9,blueberry,1043,0.005304972330729167,104,270,38,37,1406,0.007151285807291667
train,00000030,9,blueberry,1190,0.006052652994791667,173,323,39,41,1599,0.0081329345703125
train,00000030,23,cilantro mint,21115,0.10739644368489583,50,0,203,164,33292,0.16933186848958334
train,00000030,23,cilantro mint,35,0.00017801920572916666,100,173,9,9,81,0.0004119873046875
train,00000030,60,onion,52826,0.2686869303385417,84,89,329,286,94094,0.4785868326822917
train,00000030,61,orange,26790,0.136260986328125,262,217,223,167,37241,0.18941752115885416
train,00000031,10,bread,62512,0.2752014087607308,20,78,352,275,96800,0.4261501210653753
train,00000031,52,lettuce,16858,0.07421527624917455,166,10,263,115,30245,0.1331499009465111
train,00000031,91,spring onion,5632,0.02479418886198547,118,72,125,80,10000,0.04402377283733216
train,00000031,91,spring onion,16589,0.07303103675985032,96,178,280,214,59920,0.2637904468412943
train,00000031,96,tomato,29245,0.1287475236627779,344,103,185,197,36445,0.16044464010565707
train,00000032,17,cauliflower,56262,0.286163330078125,72,120,396,208,82368,0.4189453125
train,00000032,73,pork,20455,0.10403951009114583,276,0,200,139,27800,0.14139811197916666
train,00000032,82,sauce,9015,0.0458526611328125,78,7,188,65,12220,0.062154134114583336
train,00000033,77,rape,11023,0.0861171875,291,82,155,114,17670,0.138046875
train,00000033,82,sauce,1444,0.01128125,222,58,99,21,2079,0.0162421875
train,00000033,91,spring onion,2222,0.017359375,145,109,71,48,3408,0.026625
train,00000033,92,steak,13933,0.1088515625,64,103,221,109,24089,0.1881953125
train,00000034,11,broccoli,7780,0.11871337890625,170,64,86,140,12040,0.1837158203125
train,00000034,21,chicken duck,8941,0.1364288330078125,99,37,95,135,12825,0.1956939697265625
train,00000034,57,noodles,659,0.0100555419921875,165,33,45,43,1935,0.0295257568359375
train,00000034,57,noodles,5983,0.0912933349609375,16,83,134,109,14606,0.222869873046875
train,00000034,96,tomato,1489,0.0227203369140625,70,43,58,55,3190,0.048675537109375
train,00000034,96,tomato,1934,0.029510498046875,16,82,58,53,3074,0.046905517578125
train,00000034,96,tomato,688,0.010498046875,77,105,30,31,930,0.014190673828125
train,00000035,15,carrot,7416,0.0254320987654321,323,160,74,166,12284,0.04212620027434842
train,00000035,21,chicken duck,12153,0.04167695473251029,111,114,116,191,22156,0.07598079561042524
train,00000035,23,cilantro mint,3301,0.011320301783264746,127,145,64,123,7872,0.026995884773662552
train,00000035,36,french beans,9214,0.031598079561042526,257,165,81,192,15552,0.05333333333333334
train,00000035,74,potato,10960,0.03758573388203018,174,100,111,225,24975,0.08564814814814815
train,00000036,8,biscuit,8308,0.042256673177083336,385,0,127,90,11430,0.058135986328125
train,00000036,8,biscuit,24379,0.12399800618489583,323,126,189,258,48762,0.248016357421875
train,00000036,89,soup,87019,0.4426015218098958,36,16,351,322,113022,0.574859619140625
train,00000037,21,chicken duck,110044,0.4004862142254054,22,104,609,271,165039,0.6006310594811773
train,00000037,82,sauce,10403,0.03785992954260925,139,76,194,77,14938,0.05436428217893848
train,00000038,23,cilantro mint,14382,0.010078486334968466,373,635,208,139,28912,0.020260686755430975
train,00000038,51,lemon,20024,0.014032235459004906,288,731,194,166,32204,0.022567624386825507
train,00000038,55,milk,788732,0.5527203924316748,0,0,1000,1261,1261000,0.8836720392431675
train,00000038,93,strawberry,16827,0.011791871058163981,497,0,188,111,20868,0.014623686054660126
train,00000038,93,strawberry,32896,0.023052557813594953,159,112,279,225,62775,0.04399088997897688
train,00000038,93,strawberry,36372,0.02548843728100911,695,138,230,229,52670,0.03690960056061668
train,00000039,10,bread,83927,0.4268747965494792,7,8,461,279,128619,0.6541900634765625
train,00000039,23,cilantro mint,10904,0.055460611979166664,308,74,204,143,29172,0.14837646484375
train,00000039,96,tomato,2951,0.015009562174479166,418,156,75,81,6075,0.0308990478515625
train,00000039,96,tomato,5568,0.0283203125,23,274,86,80,6880,0.034993489583333336
train,00000040,11,broccoli,19752,0.1009898560209424,264,90,225,150,33750,0.17256012761780104
train,00000040,15,carrot,33223,0.16986563318062828,42,152,315,182,57330,0.29312213678010474
train,00000040,21,chicken duck,24239,0.12393140543193717,86,0,328,167,54776,0.28006380890052357
train,00000041,3,asparagus,15357,0.12200683244617462,224,0,80,253,20240,0.16080082624930483
train,00000041,35,fish,17908,0.14227377452927623,92,60,138,193,26634,0.2115992690871534
train,00000041,51,lemon,3383,0.026876936521808215,320,1,68,65,4420,0.035115595455628826
train,00000042,23,cilantro mint,2726,0.041595458984375,71,3,65,67,4355,0.0664520263671875
train,00000042,23,cilantro mint,687,0.0104827880859375,215,135,41,32,1312,0.02001953125
train,00000042,38,fried meat,34337,0.5239410400390625,0,14,256,242,61952,0.9453125
train,00000042,82,sauce,10329,0.1576080322265625,136,0,120,103,12360,0.1885986328125
train,00000043,45,ice cream,52932,0.24923250776909314,85,53,263,340,89420,0.42103776250117714
train,00000043,61,orange,20889,0.0983567190884264,0,98,189,238,44982,0.21179960448253132
train,00000043,61,orange,40493,0.1906629626141821,126,346,284,172,48848,0.23000282512477635
train,00000044,23,cilantro mint,3839,0.005118666666666666,425,223,117,85,9945,0.01326
train,00000044,35,fish,131598,0.175464,172,378,684,304,207936,0.277248
train,00000044,49,kiwi,43491,0.057988,542,171,326,178,58028,0.07737066666666667
train,00000044,51,lemon,10013,0.013350666666666667,846,45,131,112,14672,0.019562666666666666
train,00000044,52,lettuce,57744,0.076992,203,86,355,301,106855,0.14247333333333334
train,00000044,61,orange,27971,0.03729466666666666,561,46,289,192,55488,0.073984
train,00000044,96,tomato,6890,0.009186666666666666,419,108,150,75,11250,0.015
train,00000045,10,bread,3830,0.019480387369791668,88,134,153,114,17442,0.088714599609375
train,00000045,10,bread,811,0.004124959309895833,257,259,87,32,2784,0.01416015625
train,00000045,21,chicken duck,16283,0.08281962076822917,226,148,156,133,20748,0.10552978515625
train,00000045,25,corn,9567,0.0486602783203125,183,55,164,87,14268,0.07257080078125
train,00000045,60,onion,5549,0.028223673502604168,121,142,115,94,10810,0.054982503255208336
train,00000045,96,tomato,576,0.0029296875,150,148,47,18,846,0.004302978515625
train,00000045,96,tomato,1895,0.009638468424479166,139,159,89,52,4628,0.023539225260416668
train,00000045,96,tomato,3622,0.018422444661458332,122,213,100,61,6100,0.031026204427083332
train,00000046,36,french beans,18372,0.09344482421875,308,14,204,236,48144,0.244873046875
train,00000046,57,noodles,1415,0.007197062174479167,184,11,66,57,3762,0.019134521484375
train,00000046,57,noodles,52775,0.2684275309244792,0,44,446,318,141828,0.72137451171875
train,00000046,73,pork,7542,0.038360595703125,91,4,142,130,18460,0.09389241536458333
train,00000046,73,pork,5720,0.029093424479166668,239,18,138,94,12972,0.06597900390625
train,00000046,73,pork,10447,0.053136189778645836,180,104,191,125,23875,0.12143452962239583
train,00000046,87,shrimp,25147,0.12790425618489584,176,160,226,196,44296,0.22530110677083334
train,00000046,96,tomato,578,0.0029398600260416665,194,28,41,30,1230,0.006256103515625
train,00000046,96,tomato,1795,0.009129842122395834,221,61,60,44,2640,0.013427734375
train,00000046,96,tomato,7824,0.039794921875,399,268,109,90,9810,0.049896240234375
train,00000047,15,carrot,9821,0.049952189127604164,81,26,149,113,16837,0.08563741048177083
train,00000047,23,cilantro mint,7185,0.0365447998046875,318,90,94,144,13536,0.06884765625
train,00000047,74,potato,13791,0.0701446533203125,184,24,156,143,22308,0.11346435546875
train,00000047,92,steak,32101,0.16327412923177084,99,127,277,172,47644,0.24232991536458334
train,00000049,11,broccoli,12053,0.054874162296037296,45,80,141,174,24534,0.11169689685314685
train,00000049,11,broccoli,13903,0.06329672931235432,351,107,122,171,20862,0.0949792395104895
train,00000049,15,carrot,5051,0.022995884324009324,248,18,97,96,9312,0.042395104895104896
train,00000049,15,carrot,9097,0.041416266025641024,163,268,124,119,14756,0.06718021561771562
train,00000049,17,cauliflower,36336,0.16542832167832167,135,77,227,214,48578,0.22116295163170163
train,00000049,27,cucumber,4113,0.018725415209790208,156,33,94,63,5922,0.026961319930069932
train,00000049,27,cucumber,13532,0.06160766317016317,252,247,192,131,25152,0.1145104895104895
train,00000049,36,french beans,3555,0.016184986888111888,326,32,81,121,9801,0.04462139423076923
train,00000049,36,french beans,7845,0.03571623688811189,71,218,124,126,15624,0.07113199300699301
train,00000050,15,carrot,22094,0.11694402100271002,343,186,169,183,30927,0.16369728150406504
train,00000050,69,pie,26005,0.13764502879403795,295,0,217,205,44485,0.23546006944444445
train,00000050,73,pork,122204,0.646828421409214,0,0,437,369,161253,0.853515625
train,00000051,23,cilantro mint,46476,0.061968,626,516,295,234,69030,0.09204
train,00000051,69,pie,338266,0.45102133333333333,132,0,868,647,561596,0.7487946666666667
train,00000051,82,sauce,86698,0.11559733333333333,0,161,277,408,113016,0.150688
train,00000051,96,tomato,18709,0.024945333333333333,510,601,167,149,24883,0.033177333333333336
train,00000052,60,onion,15781,0.08026631673177083,237,32,142,151,21442,0.10905965169270833
train,00000052,68,pepper,41614,0.21165974934895834,0,0,259,260,67340,0.3425089518229167
train,00000052,71,pizza,42460,0.21596272786458334,25,190,322,313,100786,0.5126241048177084
train,00000052,71,pizza,18127,0.09219868977864583,243,287,141,165,23265,0.1183319091796875
train,00000052,96,tomato,7794,0.039642333984375,0,96,98,124,12152,0.061808268229166664
train,00000053,10,bread,8434,0.042897542317708336,72,36,283,64,18112,0.09212239583333333
train,00000053,10,bread,1123,0.005711873372395833,72,128,36,61,2196,0.01116943359375
train,00000053,37,french fries,29381,0.14943949381510416,72,186,263,151,39713,0.20199076334635416
train,00000053,73,pork,28434,0.144622802734375,88,73,289,146,42194,0.21460978190104166
train,00000053,96,tomato,33373,0.16974385579427084,172,109,340,254,86360,0.4392496744791667
train,00000054,8,biscuit,56031,0.2849884033203125,29,156,483,223,107709,0.5478363037109375
train,00000054,15,carrot,6781,0.034489949544270836,240,0,56,135,7560,0.0384521484375
train,00000054,15,carrot,14978,0.07618204752604167,77,6,162,180,29160,0.1483154296875
train,00000054,15,carrot,4450,0.022633870442708332,307,18,59,129,7611,0.0387115478515625
train,00000054,15,carrot,6745,0.034306844075520836,346,37,77,144,11088,0.056396484375
train,00000054,15,carrot,7370,0.037485758463541664,26,113,148,102,15096,0.0767822265625
train,00000054,45,ice cream,25103,0.12768046061197916,117,129,273,166,45318,0.230499267578125
train,00000055,10,bread,96391,0.19301670831731385,9,198,455,290,131950,0.26422129309240033
train,00000055,93,strawberry,43520,0.08714596949891068,356,278,256,250,64000,0.12815583749839804
train,00000056,11,broccoli,22116,0.11248779296875,345,0,167,211,35237,0.17922465006510416
train,00000056,15,carrot,98392,0.5004475911458334,0,39,462,345,159390,0.810699462890625
train,00000056,92,steak,34459,0.17526753743489584,0,0,361,135,48735,0.2478790283203125
train,00000057,10,bread,10984,0.0981327615473957,196,40,169,142,23998,0.21440185830429734
train,00000057,10,bread,19029,0.17000804073974807,51,59,222,197,43734,0.3907263468239078
train,00000057,23,cilantro mint,1270,0.011346377200035737,294,12,37,44,1628,0.014544804788707228
train,00000057,23,cilantro mint,577,0.005155007594031985,328,76,51,26,1326,0.011846689895470384
train,00000057,45,ice cream,140,0.0012507817385866166,296,111,20,11,220,0.001965514160636112
train,00000057,82,sauce,3743,0.033440543196640755,154,101,87,55,4785,0.042749932993835435
train,00000057,93,strawberry,1539,0.013749664969177164,279,33,70,47,3290,0.029393370856785492
train,00000057,93,strawberry,565,0.00504779773072456,309,105,38,21,798,0.007129455909943715
train,00000058,4,avocado,18049,0.12506236141906873,43,8,143,187,26741,0.18528963414634148
train,00000058,4,avocado,21724,0.15052660753880265,183,123,156,213,33228,0.23023835920177382
train,00000058,4,avocado,7548,0.052300443458980043,30,191,119,109,12971,0.08987666297117516
train,00000058,23,cilantro mint,1249,0.008654379157427937,105,46,64,74,4736,0.032815964523281595
train,00000058,23,cilantro mint,1,6.929046563192905e-06,157,64,1,1,1,6.929046563192905e-06
train,00000058,23,cilantro mint,2,1.385809312638581e-05,158,68,1,2,2,1.385809312638581e-05
train,00000058,23,cilantro mint,5,3.464523281596452e-05,145,90,5,2,10,6.929046563192905e-05
train,00000058,23,cilantro mint,1,6.929046563192905e-06,151,92,1,1,1,6.929046563192905e-06
train,00000058,23,cilantro mint,1,6.929046563192905e-06,165,93,1,1,1,6.929046563192905e-06
train,00000058,23,cilantro mint,12,8.314855875831486e-05,140,95,10,2,20,0.0001385809312638581
train,00000058,23,cilantro mint,2559,0.017731430155210642,200,163,74,90,6660,0.04614745011086475
train,00000058,52,lettuce,12687,0.08790881374722838,210,1,173,126,21798,0.15103935698447893
train,00000058,96,tomato,1656,0.01147450110864745,240,62,43,49,2107,0.01459950110864745
train,00000059,10,bread,69138,0.3971622242647059,0,37,393,302,118686,0.681789981617647
train,00000059,45,ice cream,2562,0.014717371323529412,41,250,93,35,3255,0.018698299632352942
train,00000059,82,sauce,8327,0.04783432904411765,353,248,144,92,13248,0.07610294117647058
train,00000060,4,avocado,6320,0.028376436781609195,0,21,41,215,8815,0.0395788433908046
train,00000060,37,french fries,77745,0.3490705818965517,64,12,340,419,142460,0.6396372126436781
train,00000060,82,sauce,1317,0.005913254310344828,93,0,141,13,1833,0.008230064655172413
train,00000060,96,tomato,15347,0.06890714798850575,0,72,110,258,28380,0.12742456896551724
train,00000061,11,broccoli,93788,0.4770304361979167,29,32,456,319,145464,0.7398681640625
train,00000061,51,lemon,7754,0.039438883463541664,0,103,101,111,11211,0.0570220947265625
train,00000061,51,lemon,927,0.0047149658203125,465,202,47,41,1927,0.009801228841145834
train,00000061,51,lemon,4630,0.023549397786458332,458,231,54,106,5724,0.02911376953125
train,00000062,10,bread,25965,0.13658313344274714,191,0,296,124,36704,0.19307326516012288
train,00000062,10,bread,22882,0.12036569456718428,58,193,211,163,34393,0.1809167613516812
train,00000062,82,sauce,8614,0.04531203972562387,106,49,125,95,11875,0.0624658081892017
train,00000062,82,sauce,15283,0.08039283760467954,244,108,162,124,20088,0.10566847620249968
train,00000063,23,cilantro mint,3382,0.016765149111675128,27,94,144,114,16416,0.08137690355329949
train,00000063,46,juice,40190,0.19922866434010153,67,180,225,219,49275,0.24426455425126903
train,00000063,61,orange,993,0.0049224698604060915,86,145,37,44,1628,0.008070272842639593
train,00000063,61,orange,2869,0.014222120875634518,28,160,50,93,4650,0.02305084073604061
train,00000063,61,orange,24349,0.12070213356598984,269,196,125,243,30375,0.15057404029187818
train,00000064,44,hanamaki baozi,925720,0.18447575502499744,317,779,1557,811,1262727,0.25163388142791554
train,00000064,82,sauce,112866,0.02249172597183961,966,297,587,259,152033,0.030296852680848894
train,00000065,46,juice,32656,0.16609700520833334,209,64,174,265,46110,0.234527587890625
train,00000065,51,lemon,7400,0.037638346354166664,331,11,91,109,9919,0.050450642903645836
train,00000065,51,lemon,12234,0.062225341796875,115,246,143,113,16159,0.08218892415364583
train,00000066,11,broccoli,29254,0.16804917279411766,32,199,390,115,44850,0.25764016544117646
train,00000066,21,chicken duck,54654,0.3139590992647059,39,74,464,179,83056,0.4771139705882353
train,00000066,38,fried meat,8717,0.05007467830882353,316,10,196,130,25480,0.14636948529411764
train,00000066,42,green beans,5161,0.029647288602941177,235,11,131,80,10480,0.06020220588235294
train,00000066,80,rice,20506,0.11779641544117647,0,28,237,229,54273,0.31177045036764706
