class_id_a,class_a,class_id_b,class_b,texture_similarity,texture_distance
51,lemon,53,mango,0.8167009398627715,0.18329906013722852
9,blueberry,14,candy,0.8166987822408105,0.1833012177591895
3,asparagus,23,cilantro mint,0.8165422768188549,0.18345772318114506
6,banana,18,celery stick,0.8159007485279642,0.18409925147203576
37,french fries,40,ginger,0.8157408670238121,0.1842591329761879
94,tea,98,watermelon,0.8149965825138797,0.18500341748612026
10,bread,21,chicken duck,0.8144995435466342,0.18550045645336577
8,biscuit,85,shellfish,0.813896010093706,0.18610398990629395
59,olives,60,onion,0.8138041498939355,0.18619585010606454
19,cheese butter,68,pepper,0.8137861899868839,0.1862138100131161
77,rape,79,red beans,0.8127508369093074,0.18724916309069262
44,hanamaki baozi,69,pie,0.8126061430484127,0.18739385695158728
26,crab,37,french fries,0.8125939396685508,0.18740606033144924
39,garlic,59,olives,0.8118298452507252,0.1881701547492748
53,mango,65,peach,0.8113364497498865,0.1886635502501135
21,chicken duck,40,ginger,0.8103806377521978,0.18961936224780218
77,rape,81,salad,0.8100830400815618,0.18991695991843816
23,cilantro mint,86,shiitake,0.8099364452003792,0.19006355479962078
13,cake,32,eggplant,0.809847161206047,0.19015283879395295
26,crab,102,wonton dumplings,0.8095969458911095,0.19040305410889047
39,garlic,99,white button mushroom,0.8095349454645286,0.19046505453547136
3,asparagus,97,walnut,0.8093950380565272,0.19060496194347276
37,french fries,69,pie,0.8093254946359675,0.19067450536403252
46,juice,76,pumpkin,0.8090218847062057,0.19097811529379427
46,juice,61,orange,0.8088867602223534,0.1911132397776466
43,hamburg,54,melon,0.8085035061698286,0.19149649383017142
74,potato,75,pudding,0.8078676928106168,0.19213230718938323
20,cherry,23,cilantro mint,0.8069344941584708,0.19306550584152915
22,chocolate,95,tofu,0.8056880855104827,0.19431191448951735
37,french fries,44,hanamaki baozi,0.8055936090224541,0.19440639097754586
53,mango,54,melon,0.8053608004235899,0.19463919957641007
56,milkshake,63,oyster mushroom,0.8052807849187321,0.19471921508126788
56,milkshake,89,soup,0.8049447655589382,0.19505523444106176
71,pizza,77,rape,0.8041176099639503,0.19588239003604968
38,fried meat,77,rape,0.8033913300967548,0.19660866990324521
9,blueberry,88,snow peas,0.8033317236818157,0.1966682763181843
19,cheese butter,95,tofu,0.8030730791419363,0.19692692085806374
95,tofu,98,watermelon,0.8028479877424978,0.19715201225750223
53,mango,55,milk,0.8026029765200716,0.19739702347992838
11,broccoli,85,shellfish,0.8025151940619183,0.1974848059380817
69,pie,77,rape,0.801566173244991,0.19843382675500898
74,potato,76,pumpkin,0.801388736797874,0.19861126320212596
25,corn,37,french fries,0.8013250298781596,0.19867497012184043
55,milk,76,pumpkin,0.800846932464817,0.19915306753518303
39,garlic,95,tofu,0.8007543444289729,0.19924565557102714
23,cilantro mint,60,onion,0.800169402517551,0.19983059748244902
7,bean sprouts,71,pizza,0.8001687974033966,0.19983120259660336
19,cheese butter,52,lettuce,0.7997700673652419,0.20022993263475808
66,peanut,85,shellfish,0.7995869091122657,0.2004130908877343
16,cashew,23,cilantro mint,0.7987611443806534,0.20123885561934662
69,pie,71,pizza,0.7983027744890555,0.2016972255109445
10,bread,35,fish,0.7980693914907299,0.20193060850927014
22,chocolate,59,olives,0.7966308293138435,0.20336917068615645
20,cherry,88,snow peas,0.7963620369546422,0.20363796304535775
63,oyster mushroom,74,potato,0.7963470184624403,0.20365298153755973
65,peach,70,pineapple,0.7955770328926349,0.20442296710736507
21,chicken duck,37,french fries,0.7949868814649905,0.20501311853500948
62,other ingredients,85,shellfish,0.7948313381283258,0.20516866187167415
0,almond,97,walnut,0.7935227748138546,0.20647722518614542
31,egg tart,92,steak,0.7930997788739415,0.20690022112605855
40,ginger,87,shrimp,0.7930311479841818,0.20696885201581816
17,cauliflower,70,pineapple,0.7929496817068764,0.2070503182931236
71,pizza,92,steak,0.7923208168660878,0.2076791831339122
6,banana,70,pineapple,0.7917623004399935,0.20823769956000648
39,garlic,91,spring onion,0.7915002225724999,0.20849977742750014
38,fried meat,44,hanamaki baozi,0.7914927415330053,0.2085072584669947
35,fish,37,french fries,0.7914747755699074,0.20852522443009258
23,cilantro mint,99,white button mushroom,0.7914728032561453,0.20852719674385467
8,biscuit,35,fish,0.7911007939534944,0.20889920604650558
25,corn,102,wonton dumplings,0.7910045406363581,0.20899545936364194
55,milk,63,oyster mushroom,0.7909939444908698,0.2090060555091302
4,avocado,87,shrimp,0.7897894547191723,0.21021054528082772
65,peach,96,tomato,0.7897668088233942,0.21023319117660577
45,ice cream,94,tea,0.7890211765340932,0.2109788234659068
12,cabbage,90,soy,0.7883886625013165,0.21161133749868355
8,biscuit,73,pork,0.7883545889457885,0.21164541105421153
19,cheese butter,45,ice cream,0.7882760373255054,0.21172396267449456
23,cilantro mint,97,walnut,0.7877297148889141,0.21227028511108592
69,pie,81,salad,0.7875114311507203,0.2124885688492797
67,pear,102,wonton dumplings,0.7861710988379559,0.21382890116204412
59,olives,83,sausage,0.7858276918510164,0.21417230814898358
35,fish,40,ginger,0.784959638852632,0.21504036114736802
38,fried meat,90,soy,0.78468152325384,0.21531847674616
45,ice cream,65,peach,0.7841098830824728,0.21589011691752724
44,hanamaki baozi,73,pork,0.7837608712000167,0.2162391287999833
18,celery stick,41,grape,0.7829793213096964,0.21702067869030361
24,coffee,29,dried cranberries,0.7829458807754353,0.21705411922456475
55,milk,70,pineapple,0.7825207634548502,0.21747923654514978
55,milk,101,wine,0.7824040498495567,0.2175959501504433
77,rape,85,shellfish,0.7817755085440743,0.2182244914559257
41,grape,68,pepper,0.7809892383571465,0.2190107616428535
4,avocado,67,pear,0.7799786762691451,0.22002132373085492
12,cabbage,80,rice,0.7795374363127072,0.22046256368729278
64,pasta,67,pear,0.7794378015223252,0.22056219847767478
31,egg tart,50,lamb,0.7793796925707295,0.22062030742927052
59,olives,91,spring onion,0.7792548974876087,0.22074510251239132
2,apricot,63,oyster mushroom,0.7789557091641179,0.22104429083588206
52,lettuce,88,snow peas,0.7785682884706158,0.22143171152938423
0,almond,68,pepper,0.7770546916940497,0.22294530830595027
16,cashew,59,olives,0.7758955673281078,0.22410443267189217
13,cake,31,egg tart,0.7757934185050945,0.22420658149490547
7,bean sprouts,50,lamb,0.7757514316962625,0.22424856830373752
50,lamb,85,shellfish,0.7747931789871323,0.2252068210128677
62,other ingredients,66,peanut,0.7747433021500612,0.22525669784993885
30,egg,54,melon,0.7744425272751404,0.2255574727248596
7,bean sprouts,8,biscuit,0.7741636049723046,0.22583639502769537
15,carrot,17,cauliflower,0.7737288509644658,0.22627114903553425
55,milk,65,peach,0.773698316618508,0.22630168338149204
22,chocolate,97,walnut,0.7736750155109868,0.22632498448901317
45,ice cream,96,tomato,0.7715936325912828,0.22840636740871723
51,lemon,61,orange,0.7715690220378917,0.22843097796210832
3,asparagus,36,french beans,0.7714412901044546,0.2285587098955454
17,cauliflower,74,potato,0.7712578288142518,0.22874217118574824
17,cauliflower,65,peach,0.7709163081214955,0.22908369187850453
35,fish,77,rape,0.7707098412926281,0.2292901587073719
14,candy,20,cherry,0.7695728245711609,0.23042717542883906
8,biscuit,21,chicken duck,0.7694911606653643,0.23050883933463573
22,chocolate,86,shiitake,0.7691475891026673,0.23085241089733266
83,sausage,88,snow peas,0.7687965361663617,0.23120346383363832
64,pasta,90,soy,0.7686994877774653,0.23130051222253467
8,biscuit,34,fig,0.7685845265771024,0.2314154734228976
31,egg tart,77,rape,0.7685641178132431,0.23143588218675692
83,sausage,95,tofu,0.7683706905148192,0.2316293094851808
8,biscuit,32,eggplant,0.7683148288148114,0.2316851711851886
39,garlic,60,onion,0.7681686259649937,0.2318313740350063
17,cauliflower,61,orange,0.7673375246817641,0.23266247531823592
10,bread,73,pork,0.7671979430145288,0.23280205698547118
20,cherry,86,shiitake,0.7670403102797303,0.2329596897202697
53,mango,75,pudding,0.7666429653906566,0.23335703460934343
45,ice cream,55,milk,0.7663589670012895,0.23364103299871053
35,fish,71,pizza,0.7657809481168665,0.23421905188313352
39,garlic,97,walnut,0.7652718346186643,0.23472816538133567
44,hanamaki baozi,67,pear,0.7650926246388396,0.23490737536116035
10,bread,38,fried meat,0.7648851819632921,0.23511481803670786
45,ice cream,75,pudding,0.7644978212466339,0.2355021787533661
26,crab,48,king oyster mushroom,0.7641330627249538,0.23586693727504615
11,broccoli,31,egg tart,0.7638578720911745,0.2361421279088255
16,cashew,88,snow peas,0.7638490530445862,0.23615094695541383
61,orange,75,pudding,0.7635274415751794,0.23647255842482062
49,kiwi,99,white button mushroom,0.7634680803425192,0.23653191965748077
21,chicken duck,71,pizza,0.7633859032189341,0.23661409678106593
17,cauliflower,45,ice cream,0.762218099392572,0.237781900607428
60,onion,98,watermelon,0.7613600837393889,0.2386399162606111
13,cake,85,shellfish,0.7612883028939686,0.23871169710603135
36,french beans,57,noodles,0.7611638380580376,0.23883616194196244
54,melon,56,milkshake,0.7609165534373019,0.2390834465626981
78,raspberry,97,walnut,0.7608497787094914,0.23915022129050856
12,cabbage,67,pear,0.7606861374692403,0.2393138625307597
37,french fries,102,wonton dumplings,0.7601296857197479,0.23987031428025207
55,milk,74,potato,0.7597143562031662,0.24028564379683381
61,orange,101,wine,0.7589030921788474,0.24109690782115256
10,bread,69,pie,0.75868323991373,0.24131676008627
41,grape,45,ice cream,0.7585877646314835,0.24141223536851653
52,lettuce,96,tomato,0.7584226986776438,0.24157730132235622
43,hamburg,63,oyster mushroom,0.7582415948100139,0.24175840518998615
25,corn,48,king oyster mushroom,0.758238804620176,0.241761195379824
58,okra,77,rape,0.7579035436557376,0.24209645634426236
25,corn,90,soy,0.7575694117892859,0.24243058821071406
79,red beans,85,shellfish,0.7575233685554278,0.2424766314445722
1,apple,4,avocado,0.757305477846091,0.24269452215390896
19,cheese butter,60,onion,0.7570276313169964,0.24297236868300365
24,coffee,88,snow peas,0.7568885809502153,0.24311141904978473
75,pudding,101,wine,0.7564625248835551,0.24353747511644486
49,kiwi,86,shiitake,0.7551821495721325,0.24481785042786752
6,banana,45,ice cream,0.754824452857312,0.24517554714268797
38,fried meat,81,salad,0.7546126723529183,0.2453873276470817
43,hamburg,75,pudding,0.7545383335371504,0.24546166646284961
34,fig,85,shellfish,0.7533739037775502,0.2466260962224498
61,orange,70,pineapple,0.7528850855100185,0.24711491448998146
26,crab,87,shrimp,0.7528510932401853,0.2471489067598147
0,almond,95,tofu,0.752589042681295,0.247410957318705
9,blueberry,86,shiitake,0.752399044839588,0.24760095516041203
34,fig,71,pizza,0.7522608967844597,0.24773910321554027
54,melon,61,orange,0.7518063413869248,0.24819365861307519
61,orange,65,peach,0.7517075551050965,0.24829244489490354
16,cashew,86,shiitake,0.751626234479487,0.24837376552051305
9,blueberry,99,white button mushroom,0.7515859091851949,0.24841409081480514
43,hamburg,55,milk,0.7512934730309571,0.24870652696904294
37,french fries,80,rice,0.7509886306942108,0.24901136930578915
11,broccoli,32,eggplant,0.7504307012691328,0.2495692987308672
21,chicken duck,77,rape,0.7500407872986535,0.24995921270134647
73,pork,81,salad,0.7497313176402944,0.25026868235970556
43,hamburg,74,potato,0.7497262993837447,0.2502737006162553
17,cauliflower,75,pudding,0.749555075846461,0.25044492415353903
30,egg,76,pumpkin,0.7489686012870106,0.2510313987129894
70,pineapple,96,tomato,0.7479776268626669,0.2520223731373331
43,hamburg,102,wonton dumplings,0.7465755941289499,0.2534244058710501
35,fish,81,salad,0.7464459038228065,0.2535540961771935
32,eggplant,92,steak,0.7461834588205898,0.2538165411794102
7,bean sprouts,13,cake,0.7451155980623195,0.25488440193768047
24,coffee,98,watermelon,0.7449831701432783,0.2550168298567217
58,okra,79,red beans,0.7448783040793592,0.2551216959206408
31,egg tart,58,okra,0.7445028367951798,0.2554971632048202
52,lettuce,65,peach,0.7443910400972628,0.25560895990273724
68,pepper,99,white button mushroom,0.7443048680992334,0.25569513190076665
37,french fries,67,pear,0.7438506709194208,0.2561493290805792
46,juice,53,mango,0.743459685259433,0.25654031474056704
7,bean sprouts,79,red beans,0.743444173767952,0.256555826232048
91,spring onion,99,white button mushroom,0.7430717794964629,0.25692822050353714
1,apple,100,white radish,0.7430178221638696,0.2569821778361304
0,almond,14,candy,0.7430164225013398,0.2569835774986602
44,hanamaki baozi,87,shrimp,0.7430114920005407,0.25698850799945927
48,king oyster mushroom,87,shrimp,0.7420954352971645,0.2579045647028355
7,bean sprouts,81,salad,0.7417342723750296,0.25826572762497035
71,pizza,73,pork,0.7413629075527965,0.25863709244720345
9,blueberry,23,cilantro mint,0.741287453419083,0.258712546580917
8,biscuit,31,egg tart,0.7407381547405799,0.2592618452594201
75,pudding,89,soup,0.7399110754119419,0.2600889245880581
88,snow peas,96,tomato,0.7398270048897528,0.26017299511024716
21,chicken duck,81,salad,0.7395212688571839,0.26047873114281606
12,cabbage,40,ginger,0.7392559935855236,0.26074400641447637
75,pudding,76,pumpkin,0.7391490335355025,0.26085096646449746
51,lemon,70,pineapple,0.7389731813902811,0.2610268186097189
31,egg tart,38,fried meat,0.738841178845155,0.261158821154845
29,dried cranberries,41,grape,0.7388370095977147,0.2611629904022853
24,coffee,68,pepper,0.7382935975880023,0.2617064024119977
41,grape,52,lettuce,0.7380880735194038,0.26191192648059625
16,cashew,97,walnut,0.7379500545645957,0.2620499454354043
63,oyster mushroom,101,wine,0.7379248230508129,0.26207517694918714
80,rice,90,soy,0.7375866075813164,0.26241339241868356
40,ginger,73,pork,0.7374108155120116,0.2625891844879884
56,milkshake,75,pudding,0.7373059254378422,0.26269407456215776
11,broccoli,34,fig,0.7371630633074578,0.26283693669254216
7,bean sprouts,11,broccoli,0.7362361304258439,0.2637638695741561
31,egg tart,71,pizza,0.7361749881580777,0.2638250118419223
2,apricot,30,egg,0.7358490817163282,0.26415091828367177
17,cauliflower,55,milk,0.7343833446605432,0.2656166553394568
32,eggplant,58,okra,0.7337223377120569,0.26627766228794314
30,egg,63,oyster mushroom,0.7334699524736681,0.2665300475263319
48,king oyster mushroom,69,pie,0.7333915789023194,0.26660842109768057
19,cheese butter,41,grape,0.7331882014860833,0.2668117985139167
40,ginger,69,pie,0.7323681094054357,0.26763189059456427
