class_id_a,class_a,class_id_b,class_b,color_similarity,color_distance
3,asparagus,42,green beans,0.9112924196663337,0.08870758033366632
6,banana,19,cheese butter,0.9111785435428079,0.08882145645719208
30,egg,70,pineapple,0.910022263912782,0.08997773608721804
64,pasta,69,pie,0.9097416090736848,0.09025839092631516
32,eggplant,58,okra,0.9090714525008721,0.09092854749912793
64,pasta,74,potato,0.906875011564819,0.09312498843518102
57,noodles,80,rice,0.9061978808947442,0.09380211910525582
11,broccoli,23,cilantro mint,0.9046785470516222,0.0953214529483778
22,chocolate,79,red beans,0.9041907180150925,0.09580928198490746
6,banana,40,ginger,0.9031128746515684,0.09688712534843158
11,broccoli,42,green beans,0.9002810538568735,0.09971894614312649
15,carrot,96,tomato,0.8990403586872221,0.1009596413127779
39,garlic,40,ginger,0.8990048694159188,0.10099513058408116
64,pasta,70,pineapple,0.8983382012630761,0.10166179873692394
11,broccoli,58,okra,0.8947391652134673,0.1052608347865327
35,fish,64,pasta,0.8945784897797586,0.10542151022024138
37,french fries,53,mango,0.8945298056508828,0.1054701943491172
0,almond,62,other ingredients,0.8941854635718726,0.10581453642812744
32,eggplant,86,shiitake,0.8936296276444523,0.1063703723555477
0,almond,7,bean sprouts,0.8933028127828805,0.10669718721711952
25,corn,37,french fries,0.8911256455219446,0.10887435447805538
17,cauliflower,57,noodles,0.8909212964804126,0.10907870351958737
17,cauliflower,56,milkshake,0.8900939428529593,0.10990605714704071
2,apricot,89,soup,0.8895215340847678,0.11047846591523225
69,pie,102,wonton dumplings,0.8886961180474269,0.11130388195257312
10,bread,64,pasta,0.8885406179744286,0.11145938202557137
29,dried cranberries,83,sausage,0.8878285833217698,0.11217141667823016
8,biscuit,40,ginger,0.8853066371433174,0.11469336285668263
11,broccoli,77,rape,0.8839593967470474,0.11604060325295262
13,cake,34,fig,0.8838251819482542,0.11617481805174579
13,cake,85,shellfish,0.8830962405932479,0.11690375940675213
15,carrot,95,tofu,0.8827043359287392,0.1172956640712608
21,chicken duck,95,tofu,0.8824731387542664,0.11752686124573364
29,dried cranberries,41,grape,0.8823028083807616,0.11769719161923842
10,bread,102,wonton dumplings,0.8805999390077816,0.11940006099221845
70,pineapple,102,wonton dumplings,0.8803841288001465,0.11961587119985351
59,olives,78,raspberry,0.8797537175497654,0.12024628245023461
35,fish,87,shrimp,0.8788871815434003,0.12111281845659971
26,crab,98,watermelon,0.8778775146053739,0.12212248539462611
41,grape,59,olives,0.8771173472339434,0.12288265276605659
9,blueberry,78,raspberry,0.8768674723772728,0.1231325276227272
0,almond,16,cashew,0.8764425888449527,0.12355741115504726
15,carrot,53,mango,0.8757999881205637,0.1242000118794363
62,other ingredients,71,pizza,0.8743099655251214,0.1256900344748786
56,milkshake,80,rice,0.8742115558536252,0.1257884441463748
37,french fries,61,orange,0.8737579044936827,0.12624209550631726
1,apple,71,pizza,0.873694191842403,0.12630580815759695
6,banana,30,egg,0.8730435221858488,0.1269564778141512
59,olives,77,rape,0.8726249644425065,0.12737503555749352
54,melon,89,soup,0.8725828828935129,0.12741711710648707
11,broccoli,36,french beans,0.8725078110768558,0.12749218892314418
54,melon,70,pineapple,0.871075713121981,0.12892428687801905
19,cheese butter,40,ginger,0.8702419227903408,0.12975807720965915
35,fish,57,noodles,0.8700824302945052,0.12991756970549484
58,okra,77,rape,0.8700383978771464,0.12996160212285357
6,banana,51,lemon,0.8686388805175096,0.1313611194824904
55,milk,74,potato,0.8681066383021897,0.1318933616978103
51,lemon,102,wonton dumplings,0.8679747693862653,0.13202523061373472
54,melon,75,pudding,0.8674725634152954,0.13252743658470456
27,cucumber,66,peanut,0.8673304503487144,0.13266954965128563
38,fried meat,92,steak,0.8652022967562871,0.13479770324371287
96,tomato,98,watermelon,0.8649868081287864,0.13501319187121363
6,banana,64,pasta,0.8647228699836761,0.1352771300163239
26,crab,89,soup,0.8640065023906576,0.13599349760934243
45,ice cream,74,potato,0.8630232344218706,0.13697676557812943
35,fish,102,wonton dumplings,0.8618437049764993,0.13815629502350069
58,okra,86,shiitake,0.8617868435559649,0.1382131564440351
54,melon,57,noodles,0.8605479931378158,0.13945200686218417
25,corn,89,soup,0.860359085741311,0.13964091425868896
19,cheese butter,45,ice cream,0.8589264832958037,0.14107351670419632
25,corn,54,melon,0.8586108066662462,0.14138919333375377
6,banana,102,wonton dumplings,0.8579541242229758,0.1420458757770242
26,crab,46,juice,0.8575199587904944,0.14248004120950564
0,almond,71,pizza,0.8570576749096219,0.14294232509037808
2,apricot,90,soy,0.8567658088156432,0.14323419118435676
27,cucumber,67,pear,0.8561824707980151,0.14381752920198487
3,asparagus,11,broccoli,0.8559360151020107,0.14406398489798933
6,banana,57,noodles,0.8543461836444181,0.14565381635558194
80,rice,102,wonton dumplings,0.8538850129989004,0.1461149870010996
32,eggplant,79,red beans,0.8533570481406483,0.14664295185935172
10,bread,74,potato,0.8529988289450537,0.14700117105494626
19,cheese butter,69,pie,0.8528005016162996,0.1471994983837004
69,pie,74,potato,0.852192242722701,0.147807757277299
51,lemon,64,pasta,0.8520687109798761,0.14793128902012387
70,pineapple,87,shrimp,0.8519640183815118,0.1480359816184882
6,banana,70,pineapple,0.8512477336537018,0.14875226634629823
32,eggplant,50,lamb,0.8510100637703858,0.1489899362296142
66,peanut,81,salad,0.8491923864341031,0.1508076135658969
87,shrimp,102,wonton dumplings,0.8484051539193804,0.15159484608061957
50,lamb,85,shellfish,0.8479049444536226,0.15209505554637737
19,cheese butter,51,lemon,0.846843577518781,0.15315642248121897
22,chocolate,50,lamb,0.8457017838015035,0.15429821619849649
43,hamburg,94,tea,0.845496787055679,0.154503212944321
26,crab,75,pudding,0.843661514844948,0.156338485155052
0,almond,39,garlic,0.8429665255931934,0.1570334744068066
48,king oyster mushroom,97,walnut,0.8412668481328588,0.1587331518671412
64,pasta,87,shrimp,0.840282350974805,0.15971764902519503
54,melon,74,potato,0.8393158775565723,0.16068412244342767
35,fish,54,melon,0.8387751724139112,0.1612248275860888
19,cheese butter,30,egg,0.8387602186046729,0.16123978139532713
51,lemon,87,shrimp,0.8373122060570924,0.16268779394290755
28,date,68,pepper,0.8372763466204206,0.1627236533795794
56,milkshake,74,potato,0.8364412852136778,0.16355871478632222
54,melon,69,pie,0.8352288592539338,0.16477114074606625
6,banana,35,fish,0.8351809711454617,0.16481902885453825
68,pepper,79,red beans,0.8349079951713502,0.16509200482864983
64,pasta,75,pudding,0.8348679746662293,0.1651320253337707
22,chocolate,58,okra,0.8348640598058056,0.16513594019419442
69,pie,87,shrimp,0.8346101770969941,0.16538982290300586
7,bean sprouts,49,kiwi,0.833961129566624,0.16603887043337595
30,egg,87,shrimp,0.8336829126199051,0.16631708738009487
10,bread,19,cheese butter,0.8330493303664649,0.1669506696335351
17,cauliflower,102,wonton dumplings,0.831941669711696,0.16805833028830397
75,pudding,80,rice,0.8313845318092147,0.16861546819078532
15,carrot,25,corn,0.830552220420285,0.16944777957971502
31,egg tart,66,peanut,0.8299237842576679,0.17007621574233212
39,garlic,62,other ingredients,0.8287458246904882,0.1712541753095118
38,fried meat,73,pork,0.8287213822726286,0.1712786177273714
1,apple,34,fig,0.8285234765704999,0.17147652342950015
35,fish,37,french fries,0.8284895776429836,0.1715104223570164
19,cheese butter,54,melon,0.8280861780721372,0.17191382192786275
52,lettuce,88,snow peas,0.8277212654268269,0.1722787345731731
10,bread,54,melon,0.8269762641417769,0.17302373585822306
0,almond,67,pear,0.826871710341324,0.173128289658676
7,bean sprouts,27,cucumber,0.8266529085846026,0.1733470914153974
22,chocolate,32,eggplant,0.826282757515739,0.17371724248426101
76,pumpkin,95,tofu,0.824969564142916,0.175030435857084
34,fig,100,white radish,0.824539289925205,0.17546071007479502
6,banana,69,pie,0.8242347467790717,0.17576525322092829
28,date,58,okra,0.8242017603666134,0.1757982396333866
40,ginger,80,rice,0.8237664459808786,0.17623355401912144
2,apricot,95,tofu,0.8232783679119858,0.17672163208801417
24,coffee,59,olives,0.8229843623939016,0.1770156376060984
19,cheese butter,35,fish,0.8228784355220835,0.1771215644779165
41,grape,101,wine,0.8226427511334029,0.1773572488665971
17,cauliflower,75,pudding,0.8217326353854026,0.17826736461459736
0,almond,13,cake,0.8213048860574782,0.1786951139425218
90,soy,96,tomato,0.8210705462775114,0.17892945372248859
51,lemon,54,melon,0.820495815498612,0.17950418450138805
15,carrot,37,french fries,0.8204899569232388,0.17951004307676122
75,pudding,102,wonton dumplings,0.8202329393383012,0.17976706066169879
0,almond,81,salad,0.8199322272055742,0.18006777279442576
73,pork,83,sausage,0.8193167151444081,0.18068328485559193
27,cucumber,81,salad,0.8178849508696027,0.18211504913039733
54,melon,61,orange,0.8175563724658547,0.18244362753414534
7,bean sprouts,71,pizza,0.8175489160286584,0.18245108397134158
6,banana,87,shrimp,0.8174141953787171,0.18258580462128293
57,noodles,75,pudding,0.8168659868137907,0.18313401318620925
42,green beans,77,rape,0.8166491800027493,0.18335081999725067
4,avocado,67,pear,0.816593825574859,0.18340617442514096
17,cauliflower,40,ginger,0.8158505740466018,0.18414942595339823
2,apricot,96,tomato,0.8158352691624507,0.18416473083754925
64,pasta,80,rice,0.8144484817012821,0.18555151829871785
30,egg,102,wonton dumplings,0.8139941259980917,0.18600587400190827
14,candy,100,white radish,0.8138548910381337,0.1861451089618663
22,chocolate,28,date,0.8123991230330472,0.18760087696695282
34,fig,50,lamb,0.8123467928906568,0.1876532071093432
58,okra,79,red beans,0.8119446251612426,0.18805537483875745
30,egg,40,ginger,0.8110379040087149,0.1889620959912851
79,red beans,86,shiitake,0.8106972341503418,0.18930276584965822
56,milkshake,75,pudding,0.8094444983068242,0.1905555016931758
4,avocado,27,cucumber,0.8091758899948569,0.1908241100051431
19,cheese butter,70,pineapple,0.809060120360063,0.19093987963993697
6,banana,8,biscuit,0.808984327674755,0.19101567232524497
82,sauce,90,soy,0.8085635442451948,0.19143645575480517
11,broccoli,32,eggplant,0.8081204730720268,0.19187952692797317
19,cheese butter,55,milk,0.8077583610806744,0.19224163891932555
42,green beans,91,spring onion,0.8070701044275308,0.1929298955724692
7,bean sprouts,16,cashew,0.8067227576367663,0.19327724236323374
13,cake,50,lamb,0.8060489398075823,0.1939510601924177
34,fig,81,salad,0.8053892253812811,0.1946107746187189
19,cheese butter,75,pudding,0.8051801919981605,0.1948198080018395
36,french beans,88,snow peas,0.8038073729306294,0.19619262706937057
3,asparagus,52,lettuce,0.803412371843021,0.19658762815697906
6,banana,74,potato,0.8033956019678102,0.19660439803218976
15,carrot,98,watermelon,0.8032032405215745,0.19679675947842545
48,king oyster mushroom,76,pumpkin,0.802897066672945,0.19710293332705497
46,juice,75,pudding,0.8028248192331788,0.19717518076682117
40,ginger,57,noodles,0.8024958986606437,0.19750410133935625
50,lamb,79,red beans,0.8017312133288097,0.1982687866711903
51,lemon,57,noodles,0.8016498413605401,0.19835015863945993
6,banana,80,rice,0.8014958185933466,0.19850418140665338
53,mango,89,soup,0.8009362671598139,0.19906373284018608
0,almond,14,candy,0.7999546693114474,0.20004533068855257
6,banana,62,other ingredients,0.7998151185938347,0.2001848814061653
23,cilantro mint,58,okra,0.7997290978612006,0.2002709021387994
10,bread,87,shrimp,0.7995800235330304,0.20041997646696963
57,noodles,87,shrimp,0.7994415627502306,0.2005584372497694
37,french fries,69,pie,0.7979881709124796,0.20201182908752036
85,shellfish,100,white radish,0.7972821758162443,0.20271782418375572
21,chicken duck,38,fried meat,0.7972445351043042,0.20275546489569585
28,date,32,eggplant,0.7972383178039042,0.2027616821960958
6,banana,17,cauliflower,0.7963130352084432,0.2036869647915568
21,chicken duck,76,pumpkin,0.7952217951405761,0.20477820485942388
24,coffee,92,steak,0.7941516526967627,0.2058483473032373
35,fish,74,potato,0.792954561347734,0.207045438652266
88,snow peas,90,soy,0.7926761443123116,0.2073238556876884
38,fried meat,68,pepper,0.7913128731362334,0.20868712686376656
46,juice,82,sauce,0.79035485521706,0.20964514478294005
40,ginger,45,ice cream,0.7901759737798432,0.20982402622015683
23,cilantro mint,91,spring onion,0.7900585427999731,0.20994145720002688
8,biscuit,62,other ingredients,0.7899530527581827,0.21004694724181727
8,biscuit,39,garlic,0.7894218979651443,0.21057810203485572
17,cauliflower,64,pasta,0.7892404456874365,0.21075955431256355
83,sausage,92,steak,0.7891037574548648,0.21089624254513517
54,melon,87,shrimp,0.7882767127400248,0.21172328725997525
36,french beans,52,lettuce,0.7879640148504322,0.21203598514956778
3,asparagus,58,okra,0.7872233902245058,0.21277660977549417
26,crab,53,mango,0.7861921128506691,0.21380788714933086
24,coffee,94,tea,0.7858285791164212,0.21417142088357877
2,apricot,26,crab,0.7855838511158387,0.21441614888416127
50,lamb,66,peanut,0.7850527892649536,0.2149472107350464
19,cheese butter,87,shrimp,0.784991341335709,0.21500865866429097
20,cherry,93,strawberry,0.7849458664203499,0.2150541335796501
49,kiwi,67,pear,0.7847713017656655,0.21522869823433455
1,apple,100,white radish,0.7843521876757499,0.21564781232425012
2,apricot,82,sauce,0.7832290560877726,0.2167709439122274
53,mango,54,melon,0.7824535432264628,0.21754645677353723
83,sausage,93,strawberry,0.7819603050762429,0.21803969492375708
20,cherry,78,raspberry,0.7812580906670324,0.21874190933296755
57,noodles,70,pineapple,0.779914261050348,0.220085738949652
46,juice,89,soup,0.7799114787784441,0.22008852122155587
15,carrot,89,soup,0.7791331061624319,0.22086689383756808
30,egg,64,pasta,0.7788225148901866,0.2211774851098134
40,ginger,62,other ingredients,0.7770730995023606,0.2229269004976394
61,orange,70,pineapple,0.7753496032009652,0.22465039679903476
15,carrot,26,crab,0.7746436308103849,0.2253563691896151
37,french fries,54,melon,0.7741962215686401,0.2258037784313599
32,eggplant,85,shellfish,0.7740196954197965,0.22598030458020346
29,dried cranberries,94,tea,0.7734547177312937,0.2265452822687063
55,milk,75,pudding,0.7724598507469514,0.22754014925304855
42,green beans,52,lettuce,0.7692522498540895,0.23074775014591054
53,mango,98,watermelon,0.7688491160654785,0.23115088393452154
8,biscuit,69,pie,0.7687464816483555,0.23125351835164454
59,olives,101,wine,0.7683090956674054,0.23169090433259465
0,almond,1,apple,0.7665377497926533,0.23346225020734668
64,pasta,89,soup,0.7664115625458653,0.2335884374541347
13,cake,27,cucumber,0.766296597394461,0.233703402605539
1,apple,16,cashew,0.7662777992654302,0.23372220073456984
23,cilantro mint,52,lettuce,0.7654982714336532,0.23450172856634677
26,crab,54,melon,0.7653893268957614,0.23461067310423855
44,hanamaki baozi,76,pumpkin,0.7646433718752116,0.23535662812478841
7,bean sprouts,67,pear,0.764029992880163,0.23597000711983696
20,cherry,41,grape,0.7631419064185309,0.23685809358146914
21,chicken duck,90,soy,0.7630617125401231,0.23693828745987688
66,peanut,67,pear,0.7626147302078351,0.2373852697921649
16,cashew,67,pear,0.7623848050656793,0.2376151949343207
25,corn,26,crab,0.7620627002520243,0.23793729974797573
26,crab,82,sauce,0.7613355399822886,0.23866446001771136
31,egg tart,97,walnut,0.7605032282862842,0.23949677171371575
46,juice,98,watermelon,0.7604486932122259,0.23955130678777414
25,corn,64,pasta,0.7602950088343177,0.23970499116568234
35,fish,70,pineapple,0.7597978674127368,0.2402021325872632
29,dried cranberries,59,olives,0.7581817415702825,0.2418182584297175
11,broccoli,91,spring onion,0.7573237356677722,0.24267626433222778
10,bread,37,french fries,0.7565456382450806,0.2434543617549194
8,biscuit,35,fish,0.7565394105902306,0.24346058940976945
3,asparagus,91,spring onion,0.7558856425460564,0.2441143574539436
41,grape,83,sausage,0.7542413700681039,0.24575862993189612
8,biscuit,87,shrimp,0.7539798653475958,0.24602013465240424
10,bread,75,pudding,0.753633438723892,0.246366561276108
82,sauce,89,soup,0.7534901399998627,0.2465098600001373
23,cilantro mint,59,olives,0.7526880553701357,0.24731194462986428
11,broccoli,86,shiitake,0.7526210380901588,0.2473789619098412
44,hanamaki baozi,67,pear,0.7522225874099562,0.24777741259004382
67,pear,71,pizza,0.7521562980459426,0.24784370195405736
4,avocado,66,peanut,0.7514752807031163,0.2485247192968837
2,apricot,25,corn,0.7514274905074834,0.24857250949251664
78,raspberry,79,red beans,0.7512911329586738,0.24870886704132622
43,hamburg,92,steak,0.7510250118638295,0.24897498813617047
32,eggplant,77,rape,0.7504439022179145,0.24955609778208554
69,pie,80,rice,0.7494269174923267,0.2505730825076733
10,bread,80,rice,0.7484374060040614,0.2515625939959386
30,egg,57,noodles,0.748331098125583,0.25166890187441704
37,french fries,64,pasta,0.7480840340306095,0.2519159659693905
7,bean sprouts,81,salad,0.7479577908548292,0.25204220914517084
6,banana,39,garlic,0.7479393960544851,0.2520606039455149
8,biscuit,16,cashew,0.7473078484119494,0.2526921515880506
38,fried meat,48,king oyster mushroom,0.7469023232056542,0.2530976767943458
81,salad,100,white radish,0.7450810385673775,0.2549189614326225
2,apricot,53,mango,0.7449592409029863,0.25504075909701374
10,bread,89,soup,0.7449300763416773,0.2550699236583227
37,french fries,95,tofu,0.7446480103801121,0.2553519896198879
40,ginger,74,potato,0.7445187603114983,0.25548123968850167
66,peanut,85,shellfish,0.744406627299151,0.25559337270084903
74,potato,89,soup,0.743765703998529,0.25623429600147096
19,cheese butter,56,milkshake,0.74359663914688,0.25640336085312
15,carrot,90,soy,0.7435442740606398,0.25645572593936017
6,banana,10,bread,0.7427538854400217,0.25724611455997826
77,rape,79,red beans,0.7426577904421847,0.2573422095578153
69,pie,75,pudding,0.7416453934255772,0.2583546065744228
62,other ingredients,67,pear,0.7413801333396289,0.25861986666037107
68,pepper,93,strawberry,0.7409269261376583,0.2590730738623417
21,chicken duck,48,king oyster mushroom,0.7408311750314841,0.2591688249685159
14,candy,62,other ingredients,0.7407980809273622,0.2592019190726378
15,carrot,61,orange,0.7407136937553769,0.2592863062446231
21,chicken duck,96,tomato,0.739658152644916,0.26034184735508403
58,okra,91,spring onion,0.7395164703260763,0.26048352967392374
90,soy,92,steak,0.7386568251330949,0.26134317486690506
59,olives,92,steak,0.7384126273607777,0.26158737263922227
45,ice cream,57,noodles,0.7383571956821878,0.26164280431781217
3,asparagus,88,snow peas,0.7378271318644666,0.2621728681355334
36,french beans,58,okra,0.7370588024672623,0.2629411975327377
1,apple,13,cake,0.7359039078436251,0.26409609215637486
8,biscuit,10,bread,0.7352420710730952,0.26475792892690475
7,bean sprouts,62,other ingredients,0.7335239044701507,0.2664760955298493
40,ginger,102,wonton dumplings,0.7323643677022751,0.2676356322977249
49,kiwi,66,peanut,0.7312754350209235,0.2687245649790765
40,ginger,51,lemon,0.731265529890876,0.268734470109124
28,date,50,lamb,0.7311592910403291,0.26884070895967094
82,sauce,94,tea,0.7309532841565948,0.2690467158434052
22,chocolate,77,rape,0.7294759271196086,0.2705240728803914
40,ginger,87,shrimp,0.7287918460491278,0.27120815395087217
67,pear,81,salad,0.7284754982893865,0.2715245017106135
15,carrot,21,chicken duck,0.7281658063422647,0.2718341936577353
17,cauliflower,69,pie,0.726909212649878,0.27309078735012204
0,almond,27,cucumber,0.7262804808389561,0.27371951916104387
59,olives,79,red beans,0.7262134803168265,0.27378651968317347
6,banana,16,cashew,0.7260158399378278,0.2739841600621722
36,french beans,92,steak,0.7259924708376227,0.27400752916237725
60,onion,100,white radish,0.7258578623799202,0.2741421376200798
32,eggplant,78,raspberry,0.7254928411457541,0.2745071588542459
30,egg,62,other ingredients,0.7254886965282143,0.27451130347178565
16,cashew,39,garlic,0.7250447172841697,0.27495528271583025
95,tofu,96,tomato,0.7240118906062696,0.2759881093937304
4,avocado,44,hanamaki baozi,0.7239888821123974,0.2760111178876026
69,pie,70,pineapple,0.7239307655618529,0.2760692344381471
42,green beans,58,okra,0.723343772177359,0.276656227822641
77,rape,92,steak,0.7230423300824198,0.2769576699175802
42,green beans,88,snow peas,0.7226359047495369,0.2773640952504631
50,lamb,58,okra,0.7222275089398789,0.27777249106012114
13,cake,67,pear,0.7219483124240397,0.2780516875759603
35,fish,51,lemon,0.7219147369016795,0.2780852630983205
53,mango,96,tomato,0.7213425313346461,0.2786574686653539
52,lettuce,91,spring onion,0.7212187621878325,0.27878123781216746
8,biscuit,57,noodles,0.7209095302415103,0.2790904697584897
77,rape,78,raspberry,0.7208378289513115,0.27916217104868846
10,bread,17,cauliflower,0.7203014336364195,0.2796985663635805
13,cake,31,egg tart,0.7202906320805771,0.2797093679194229
11,broccoli,48,king oyster mushroom,0.7202003211967752,0.27979967880322476
32,eggplant,34,fig,0.7194604873711694,0.2805395126288306
54,melon,80,rice,0.7191498430518202,0.28085015694817983
45,ice cream,60,onion,0.7183326138154468,0.2816673861845532
1,apple,62,other ingredients,0.7180416232709672,0.2819583767290328
6,banana,45,ice cream,0.7175446692695631,0.28245533073043694
89,soup,102,wonton dumplings,0.7174241346667425,0.2825758653332575
24,coffee,29,dried cranberries,0.7173322176475228,0.28266778235247725
51,lemon,74,potato,0.7169867276106607,0.28301327238933927
30,egg,80,rice,0.7165899597918319,0.28341004020816807
41,grape,79,red beans,0.7165680341043582,0.2834319658956418
43,hamburg,73,pork,0.7159794290690749,0.28402057093092514
55,milk,57,noodles,0.7155976323079664,0.28440236769203364
24,coffee,73,pork,0.7153898353724814,0.28461016462751865
79,red beans,93,strawberry,0.7148420179634085,0.2851579820365915
43,hamburg,90,soy,0.7147881989410144,0.2852118010589856
0,almond,66,peanut,0.7142173372325623,0.2857826627674377
34,fig,66,peanut,0.7138809371562768,0.28611906284372324
23,cilantro mint,88,snow peas,0.7131836145918987,0.2868163854081013
27,cucumber,31,egg tart,0.7130825458248458,0.28691745417515424
1,apple,14,candy,0.7120502868267161,0.2879497131732839
31,egg tart,44,hanamaki baozi,0.7117952872345754,0.2882047127654246
45,ice cream,75,pudding,0.7113947417565933,0.28860525824340666
29,dried cranberries,73,pork,0.7111820367231965,0.28881796327680354
25,corn,70,pineapple,0.7107658117267276,0.2892341882732724
61,orange,64,pasta,0.710357595079187,0.28964240492081295
29,dried cranberries,92,steak,0.7100973937226274,0.28990260627737263
62,other ingredients,87,shrimp,0.7099023218587428,0.2900976781412572
38,fried meat,83,sausage,0.7097826549134559,0.29021734508654407
6,banana,54,melon,0.7096784768119162,0.2903215231880838
25,corn,75,pudding,0.7087229040719655,0.2912770959280345
22,chocolate,59,olives,0.7086389192586757,0.2913610807413243
50,lamb,81,salad,0.7075736883629218,0.2924263116370782
28,date,34,fig,0.7068943076919031,0.2931056923080969
46,juice,54,melon,0.7060064738660846,0.2939935261339154
63,oyster mushroom,90,soy,0.704987023652191,0.295012976347809
36,french beans,91,spring onion,0.7047139319045109,0.2952860680954891
43,hamburg,82,sauce,0.7045886003486782,0.2954113996513218
3,asparagus,59,olives,0.7044592542545356,0.2955407457454644
73,pork,90,soy,0.7044293855703188,0.29557061442968124
16,cashew,30,egg,0.7042185865689241,0.2957814134310759
41,grape,77,rape,0.7042024620588224,0.2957975379411776
82,sauce,98,watermelon,0.7040510507401136,0.29594894925988635
44,hanamaki baozi,48,king oyster mushroom,0.7039778069893428,0.29602219301065724
39,garlic,60,onion,0.7038931974080272,0.29610680259197275
70,pineapple,74,potato,0.70384421515003,0.29615578484996996
77,rape,86,shiitake,0.7038307918273552,0.2961692081726448
61,orange,89,soup,0.7035191211583618,0.2964808788416382
30,egg,54,melon,0.7031724753092794,0.2968275246907206
40,ginger,69,pie,0.7029685471329493,0.2970314528670507
20,cherry,101,wine,0.7028189377762191,0.29718106222378093
4,avocado,49,kiwi,0.7027741422977504,0.29722585770224963
51,lemon,80,rice,0.7026851001284975,0.2973148998715025
37,french fries,89,soup,0.702269093182885,0.297730906817115
28,date,86,shiitake,0.7020820675633406,0.2979179324366594
43,hamburg,59,olives,0.7017963476867306,0.2982036523132694
2,apricot,63,oyster mushroom,0.7016899810797115,0.2983100189202885
18,celery stick,52,lettuce,0.7007667748870107,0.29923322511298933
69,pie,89,soup,0.700657840066431,0.29934215993356905
0,almond,8,biscuit,0.6998404423326369,0.30015955766736313
82,sauce,96,tomato,0.6994592525070843,0.3005407474929157
8,biscuit,19,cheese butter,0.699249196264929,0.300750803735071
57,noodles,89,soup,0.6989069520606214,0.30109304793937863
2,apricot,21,chicken duck,0.6988022157466793,0.30119778425332067
